listing_key,ticker,exchange,name,asset_type,stock_sector,etf_category,country,country_code,isin,aliases
XETRA::FPE,FPE,XETRA,Fuchs SE,Stock,Materials,,Germany,DE,DE000A3E5D56,fuchs
XETRA::UUU,UUU,XETRA,3U Holding AG,Stock,Information Technology,,Germany,DE,DE0005167902,3u holding
XETRA::BEZ,BEZ,XETRA,Berentzen-Gruppe AG,Stock,Consumer Staples,,Germany,DE,DE0005201602,berentzen-gruppe
XETRA::BWB,BWB,XETRA,Baader Bank AG,Stock,Financials,,Germany,DE,DE0005088108,baader bank
XETRA::SYZ,SYZ,XETRA,SYZYGY AG,Stock,Information Technology,,Germany,DE,DE0005104806,syzygy
XETRA::ABA,ABA,XETRA,ALBA SE,Stock,Materials,,Germany,DE,DE0006209901,alba
XETRA::4DS,4DS,XETRA,Daldrup & Söhne AG,Stock,Energy,,Germany,DE,DE0007830572,daldrup & söhne
XETRA::HIGH,HIGH,XETRA,Cantourage Group SE,Stock,Health Care,,Germany,DE,DE000A3DSV01,cantourage group
XETRA::GMM,GMM,XETRA,Grammer AG,Stock,Consumer Discretionary,,Germany,DE,DE0005895403,grammer
XETRA::DLX,DLX,XETRA,Delignit AG,Stock,Industrials,,Germany,DE,DE000A0MZ4B0,delignit
XETRA::SPG,SPG,XETRA,Springer Nature AG & Co. KGaA,Stock,Communication Services,,Germany,DE,DE000SPG1003,springer nature
XETRA::EIS,EIS,XETRA,Eisen- und Hüttenwerke AG,Stock,Materials,,Germany,DE,DE0005658009,eisen- und hüttenwerke
XETRA::MUB,MUB,XETRA,Mühlbauer Holding AG,Stock,Industrials,,Germany,DE,DE0006627201,mühlbauer holding
XETRA::PGH,PGH,XETRA,The Payments Group Holding GmbH & Co. KGaA,Stock,Financials,,Germany,DE,DE000A1MMEV4,the payments group holding gmbh
XETRA::IFA,IFA,XETRA,LS Invest AG,Stock,Consumer Discretionary,,Germany,DE,DE0006131204,ls invest
XETRA::WWG,WWG,XETRA,Gelsenwasser AG,Stock,Utilities,,Germany,DE,DE0007760001,gelsenwasser
XETRA::RTC,RTC,XETRA,RealTech AG,Stock,Information Technology,,Germany,DE,DE0007008906,realtech
XETRA::EMH,EMH,XETRA,pferdewetten.de AG,Stock,Consumer Discretionary,,Germany,DE,DE000A2YN777,pferdewetten.de
XETRA::DAR,DAR,XETRA,DATRON AG,Stock,Industrials,,Germany,DE,DE000A0V9LA7,datron
XETRA::SSH,SSH,XETRA,Südwestdeutsche Salzwerke AG,Stock,Consumer Staples,,Germany,DE,DE0007346603,südwestdeutsche salzwerke
XETRA::COR,COR,XETRA,Coreo AG,Stock,Real Estate,,Germany,DE,DE000A40KYB8,coreo
XETRA::MED,MED,XETRA,MediClin AG,Stock,Health Care,,Germany,DE,DE0006595101,mediclin
XETRA::NWX,NWX,XETRA,NORDWEST Handel AG,Stock,Industrials,,Germany,DE,DE0006775505,nordwest handel
XETRA::PAL,PAL,XETRA,SCP Standard Capital Partners AG,Stock,Financials,,Germany,DE,DE000A12UPJ7,scp standard capital partners
XETRA::SPB,SPB,XETRA,Sedlmayr Grund und Immobilien KGaA,Stock,Real Estate,,Germany,DE,DE0007224008,sedlmayr grund und immobilien
XETRA::GTY,GTY,XETRA,Gateway Real Estate AG,Stock,Real Estate,,Germany,DE,DE000A0JJTG7,gateway real estate
XETRA::RGB,RGB,XETRA,Regenbogen AG,Stock,Consumer Discretionary,,Germany,DE,DE0008009564,regenbogen
XETRA::TUR,TUR,XETRA,Turbon AG,Stock,Industrials,,Germany,DE,DE0007504508,turbon
XETRA::ECF,ECF,XETRA,Mountain Alliance AG,Stock,Financials,,Germany,DE,DE000A12UK08,mountain alliance
XETRA::EVAC,EVAC,XETRA,electrovac AG,Stock,Industrials,,Germany,DE,DE000A420ZL4,electrovac
XETRA::OEL,OEL,XETRA,ADM Hamburg AG,Stock,Consumer Staples,,Germany,DE,DE0007269003,adm hamburg
XETRA::ALG,ALG,XETRA,ALBIS Leasing AG,Stock,Financials,,Germany,DE,DE0006569403,albis leasing
XETRA::MUT,MUT,XETRA,Mineralbrunnen Überkingen-Teinach GmbH & Co. KGaA,Stock,Consumer Staples,,Germany,DE,DE0006614001,mineralbrunnen überkingen-teinach gmbh
XETRA::WOLF,WOLF,XETRA,Meta Wolf AG,Stock,Industrials,,Germany,DE,DE000A254203,meta wolf
XETRA::MSH,MSH,XETRA,WASGAU Produktions & Handels AG,Stock,Consumer Staples,,Germany,DE,DE0007016008,wasgau produktions & handels
