source_key,provider,reference_scope,mode,rows,generated_at,age_hours,freshness_status,refresh_priority,refresh_queue,recommended_refresh_action,recommended_next_source,source_gate,review_strategy,evidence_required,freshness_review_context,refresh_gate_context
otc_markets_stock_screener,OTC Markets,exchange_directory,cache,11925,2026-05-25T11:18:18Z,185.46,old,P1,refresh_official_exchange_directory_before_identity_or_collision_work,refresh_official_exchange_directory_before_identity_or_collision_work,Refresh the official exchange-directory source for scope exchange_directory using mode cache.,"Do not perform identity, collision, or listing-add work until the official exchange directory is freshly regenerated.",refresh_official_exchange_directory_before_identity_or_collision_work,official_exchange_directory_refresh_artifact_with_generated_at_and_row_count,generated_at=2026-05-25T11:18:18Z;age_bucket=age_168_336h;freshness_status=old;refresh_priority=P1,refresh_queue=refresh_official_exchange_directory_before_identity_or_collision_work;recommended_refresh_action=refresh_official_exchange_directory_before_identity_or_collision_work;review_strategy=refresh_official_exchange_directory_before_identity_or_collision_work;evidence_required=official_exchange_directory_refresh_artifact_with_generated_at_and_row_count
sec_company_tickers_exchange,SEC,exchange_directory,cache,10122,2026-05-25T11:20:18Z,185.43,old,P1,refresh_official_exchange_directory_before_identity_or_collision_work,refresh_official_exchange_directory_before_identity_or_collision_work,Refresh the official exchange-directory source for scope exchange_directory using mode cache.,"Do not perform identity, collision, or listing-add work until the official exchange directory is freshly regenerated.",refresh_official_exchange_directory_before_identity_or_collision_work,official_exchange_directory_refresh_artifact_with_generated_at_and_row_count,generated_at=2026-05-25T11:20:18Z;age_bucket=age_168_336h;freshness_status=old;refresh_priority=P1,refresh_queue=refresh_official_exchange_directory_before_identity_or_collision_work;recommended_refresh_action=refresh_official_exchange_directory_before_identity_or_collision_work;review_strategy=refresh_official_exchange_directory_before_identity_or_collision_work;evidence_required=official_exchange_directory_refresh_artifact_with_generated_at_and_row_count
cse_ma_listed_companies,Casablanca Stock Exchange,exchange_directory,network,50,2026-05-25T11:56:39Z,184.82,old,P1,refresh_official_exchange_directory_before_identity_or_collision_work,refresh_official_exchange_directory_before_identity_or_collision_work,Refresh the official exchange-directory source for scope exchange_directory using mode network.,"Do not perform identity, collision, or listing-add work until the official exchange directory is freshly regenerated.",refresh_official_exchange_directory_before_identity_or_collision_work,official_exchange_directory_refresh_artifact_with_generated_at_and_row_count,generated_at=2026-05-25T11:56:39Z;age_bucket=age_168_336h;freshness_status=old;refresh_priority=P1,refresh_queue=refresh_official_exchange_directory_before_identity_or_collision_work;recommended_refresh_action=refresh_official_exchange_directory_before_identity_or_collision_work;review_strategy=refresh_official_exchange_directory_before_identity_or_collision_work;evidence_required=official_exchange_directory_refresh_artifact_with_generated_at_and_row_count
ngx_company_profile_directory,NGX,exchange_directory,network,133,2026-05-25T12:00:28Z,184.76,old,P1,refresh_official_exchange_directory_before_identity_or_collision_work,refresh_official_exchange_directory_before_identity_or_collision_work,Refresh the official exchange-directory source for scope exchange_directory using mode network.,"Do not perform identity, collision, or listing-add work until the official exchange directory is freshly regenerated.",refresh_official_exchange_directory_before_identity_or_collision_work,official_exchange_directory_refresh_artifact_with_generated_at_and_row_count,generated_at=2026-05-25T12:00:28Z;age_bucket=age_168_336h;freshness_status=old;refresh_priority=P1,refresh_queue=refresh_official_exchange_directory_before_identity_or_collision_work;recommended_refresh_action=refresh_official_exchange_directory_before_identity_or_collision_work;review_strategy=refresh_official_exchange_directory_before_identity_or_collision_work;evidence_required=official_exchange_directory_refresh_artifact_with_generated_at_and_row_count
nse_ke_listed_companies,NSE Kenya,exchange_directory,network,66,2026-05-25T12:07:16Z,184.65,old,P1,refresh_official_exchange_directory_before_identity_or_collision_work,refresh_official_exchange_directory_before_identity_or_collision_work,Refresh the official exchange-directory source for scope exchange_directory using mode network.,"Do not perform identity, collision, or listing-add work until the official exchange directory is freshly regenerated.",refresh_official_exchange_directory_before_identity_or_collision_work,official_exchange_directory_refresh_artifact_with_generated_at_and_row_count,generated_at=2026-05-25T12:07:16Z;age_bucket=age_168_336h;freshness_status=old;refresh_priority=P1,refresh_queue=refresh_official_exchange_directory_before_identity_or_collision_work;recommended_refresh_action=refresh_official_exchange_directory_before_identity_or_collision_work;review_strategy=refresh_official_exchange_directory_before_identity_or_collision_work;evidence_required=official_exchange_directory_refresh_artifact_with_generated_at_and_row_count
sem_isin,SEM,exchange_directory,network,47,2026-05-25T12:10:16Z,184.6,old,P1,refresh_official_exchange_directory_before_identity_or_collision_work,refresh_official_exchange_directory_before_identity_or_collision_work,Refresh the official exchange-directory source for scope exchange_directory using mode network.,"Do not perform identity, collision, or listing-add work until the official exchange directory is freshly regenerated.",refresh_official_exchange_directory_before_identity_or_collision_work,official_exchange_directory_refresh_artifact_with_generated_at_and_row_count,generated_at=2026-05-25T12:10:16Z;age_bucket=age_168_336h;freshness_status=old;refresh_priority=P1,refresh_queue=refresh_official_exchange_directory_before_identity_or_collision_work;recommended_refresh_action=refresh_official_exchange_directory_before_identity_or_collision_work;review_strategy=refresh_official_exchange_directory_before_identity_or_collision_work;evidence_required=official_exchange_directory_refresh_artifact_with_generated_at_and_row_count
qse_market_watch,QSE,exchange_directory,network,57,2026-05-25T12:12:50Z,184.55,old,P1,refresh_official_exchange_directory_before_identity_or_collision_work,refresh_official_exchange_directory_before_identity_or_collision_work,Refresh the official exchange-directory source for scope exchange_directory using mode network.,"Do not perform identity, collision, or listing-add work until the official exchange directory is freshly regenerated.",refresh_official_exchange_directory_before_identity_or_collision_work,official_exchange_directory_refresh_artifact_with_generated_at_and_row_count,generated_at=2026-05-25T12:12:50Z;age_bucket=age_168_336h;freshness_status=old;refresh_priority=P1,refresh_queue=refresh_official_exchange_directory_before_identity_or_collision_work;recommended_refresh_action=refresh_official_exchange_directory_before_identity_or_collision_work;review_strategy=refresh_official_exchange_directory_before_identity_or_collision_work;evidence_required=official_exchange_directory_refresh_artifact_with_generated_at_and_row_count
bahrain_bourse_listed_companies,Bahrain Bourse,exchange_directory,network,41,2026-05-25T12:15:51Z,184.5,old,P1,refresh_official_exchange_directory_before_identity_or_collision_work,refresh_official_exchange_directory_before_identity_or_collision_work,Refresh the official exchange-directory source for scope exchange_directory using mode network.,"Do not perform identity, collision, or listing-add work until the official exchange directory is freshly regenerated.",refresh_official_exchange_directory_before_identity_or_collision_work,official_exchange_directory_refresh_artifact_with_generated_at_and_row_count,generated_at=2026-05-25T12:15:51Z;age_bucket=age_168_336h;freshness_status=old;refresh_priority=P1,refresh_queue=refresh_official_exchange_directory_before_identity_or_collision_work;recommended_refresh_action=refresh_official_exchange_directory_before_identity_or_collision_work;review_strategy=refresh_official_exchange_directory_before_identity_or_collision_work;evidence_required=official_exchange_directory_refresh_artifact_with_generated_at_and_row_count
dfm_listed_securities,DFM,exchange_directory,network,71,2026-05-25T12:22:20Z,184.4,old,P1,refresh_official_exchange_directory_before_identity_or_collision_work,refresh_official_exchange_directory_before_identity_or_collision_work,Refresh the official exchange-directory source for scope exchange_directory using mode network.,"Do not perform identity, collision, or listing-add work until the official exchange directory is freshly regenerated.",refresh_official_exchange_directory_before_identity_or_collision_work,official_exchange_directory_refresh_artifact_with_generated_at_and_row_count,generated_at=2026-05-25T12:22:20Z;age_bucket=age_168_336h;freshness_status=old;refresh_priority=P1,refresh_queue=refresh_official_exchange_directory_before_identity_or_collision_work;recommended_refresh_action=refresh_official_exchange_directory_before_identity_or_collision_work;review_strategy=refresh_official_exchange_directory_before_identity_or_collision_work;evidence_required=official_exchange_directory_refresh_artifact_with_generated_at_and_row_count
adx_market_watch,ADX,exchange_directory,network,122,2026-05-25T12:23:57Z,184.37,old,P1,refresh_official_exchange_directory_before_identity_or_collision_work,refresh_official_exchange_directory_before_identity_or_collision_work,Refresh the official exchange-directory source for scope exchange_directory using mode network.,"Do not perform identity, collision, or listing-add work until the official exchange directory is freshly regenerated.",refresh_official_exchange_directory_before_identity_or_collision_work,official_exchange_directory_refresh_artifact_with_generated_at_and_row_count,generated_at=2026-05-25T12:23:57Z;age_bucket=age_168_336h;freshness_status=old;refresh_priority=P1,refresh_queue=refresh_official_exchange_directory_before_identity_or_collision_work;recommended_refresh_action=refresh_official_exchange_directory_before_identity_or_collision_work;review_strategy=refresh_official_exchange_directory_before_identity_or_collision_work;evidence_required=official_exchange_directory_refresh_artifact_with_generated_at_and_row_count
